Layer,Name,GEOID,Population,Longitude,Latitude,EKW_2024,INC_2019-2023,CZM_2023,EDB_2019-2023
Census tract,Tract 1910,17031191000,2422,-87.74380100,41.91922970,16.42,66632.0,42.0,62.77084701247537
Census tract,Tract 1911,17031191100,7533,-87.75097630,41.91962930,15.36,53682.99999999999,257.0,59.77991746905089
Census tract,Tract 1912,17031191200,3810,-87.76082690,41.92014320,16.0,64687.99999999999,100.0,53.41061078912171
Census tract,Tract 1913.01,17031191301,5214,-87.78026550,41.92015220,14.56,65240.0,78.0,70.91243110838946
Census tract,Tract 1913.02,17031191302,4940,-87.77053340,41.92022890,15.42,58207.99999999999,152.0,57.55265068990559
Census tract,Tract 2001,17031200100,4118,-87.73762260,41.93505520,14.22,72417.0,125.0,80.81180811808119
Census tract,Tract 2002,17031200200,5162,-87.73562820,41.92785230,13.92,65599.0,116.0,70.68858560794044
Census tract,Tract 2003,17031200300,2015,-87.73412640,41.92348060,14.17,39739.99999999999,81.0,82.16258879242304
Census tract,Tract 2004.01,17031200401,3743,-87.73754190,41.91982850,13.25,73384.0,77.0,71.9672131147541
Census tract,Tract 2004.02,17031200402,4192,-87.72967890,41.91963480,13.56,77090.99999999999,92.0,68.55563234277817
Census tract,Tract 2101,17031210100,4066,-87.70054420,41.94465710,17.22,115704.99999999999,160.0,89.73119903352462
Census tract,Tract 2104,17031210400,2912,-87.73030570,41.93574500,13.75,64664.99999999999,80.0,79.62962962962963
Census tract,Tract 2105.01,17031210501,3555,-87.72233010,41.93740130,17.25,74885.99999999999,119.0,80.77272727272728
Census tract,Tract 2105.02,17031210502,4099,-87.72205240,41.93378460,15.11,79856.99999999999,90.0,83.10502283105022
Census tract,Tract 2106.01,17031210601,2717,-87.71221400,41.93763560,13.67,90357.0,37.0,80.0571156592099
Census tract,Tract 2106.02,17031210602,4148,-87.71257200,41.93416300,15.06,93589.0,139.0,78.99891186071817
Census tract,Tract 2107,17031210700,3907,-87.70384010,41.93570290,14.0,100151.0,59.0,95.27326440177252
Census tract,Tract 2108,17031210800,986,-87.69893340,41.93574550,18.0,92374.99999999999,35.0,86.95106649937264
Census tract,Tract 2109,17031210900,3170,-87.69311820,41.93483720,16.08,106082.99999999999,56.0,95.55745407945324
Census tract,Tract 2203,17031220300,2207,-87.69508630,41.92846470,14.67,94653.99999999999,46.0,96.57924743443556
Census tract,Tract 2204,17031220400,2579,-87.69996840,41.92843140,16.0,124613.0,118.0,96.00389863547758
Census tract,Tract 2205,17031220500,2751,-87.70498770,41.92833430,15.99,107856.99999999999,209.0,96.76044330775788
Census tract,Tract 2206.01,17031220601,1635,-87.71288360,41.92582520,15.0,130500.0,71.0,96.73105497771174
Census tract,Tract 2206.02,17031220602,4877,-87.71208600,41.92939600,15.77,71206.99999999999,158.0,93.1858407079646
Census tract,Tract 2207.01,17031220701,2920,-87.72156510,41.92615540,13.06,79948.0,90.0,84.82693219535324
Census tract,Tract 2207.02,17031220702,3653,-87.72423130,41.92936870,14.92,80452.0,129.0,91.07455372768638
Census tract,Tract 2209.01,17031220901,2903,-87.72124830,41.91918160,13.61,83681.0,66.0,83.89057750759878
Census tract,Tract 2209.02,17031220902,2959,-87.72183570,41.92271120,15.0,78303.99999999999,87.0,86.49439297903461
Census tract,Tract 2210,17031221000,2432,-87.71525260,41.92096040,13.58,89043.99999999999,88.0,85.36960985626283
Census tract,Tract 2211,17031221100,4440,-87.71036090,41.92102050,14.89,96513.99999999999,114.0,93.1806073521577
Census tract,Tract 2212,17031221200,2954,-87.70464990,41.92108310,17.08,126481.0,130.0,93.83620689655172
Census tract,Tract 2213,17031221300,3062,-87.69975410,41.92112560,17.28,87431.99999999999,167.0,89.35587026039288
Census tract,Tract 2214,17031221400,3385,-87.69453200,41.92080130,17.06,108788.99999999999,219.0,95.54455445544554
Census tract,Tract 2215,17031221500,2909,-87.68995130,41.92164680,16.75,72292.0,101.0,87.12406015037594
Census tract,Tract 2216,17031221600,3159,-87.68509710,41.92124780,16.29,138152.0,106.0,95.81064097193128
Census tract,Tract 2222,17031222200,2156,-87.68382620,41.91590950,17.33,188064.99999999997,80.0,98.9176187612748
Census tract,Tract 2225,17031222500,1415,-87.69958740,41.91568250,15.38,155877.99999999997,50.0,97.6401179941003
Census tract,Tract 2226,17031222600,1599,-87.70447980,41.91563880,16.0,94687.99999999999,47.0,89.43022295623452
Census tract,Tract 2227,17031222700,2082,-87.71020580,41.91550090,14.83,86473.0,67.0,87.0900209351012
Census tract,Tract 2228,17031222800,960,-87.71509530,41.91543490,13.83,71484.0,35.0,84.29003021148036
Census tract,Tract 2229,17031222900,1089,-87.72007440,41.91556440,16.33,89630.0,70.0,88.05120910384068
Census tract,Tract 2301,17031230100,1504,-87.70436550,41.91200800,14.33,89772.99999999999,44.0,90.25270758122744
Census tract,Tract 2302,17031230200,1834,-87.71008440,41.91186880,16.33,78056.0,110.0,83.28380386329867
Census tract,Tract 2303,17031230300,956,-87.71498840,41.91178660,11.83,67337.0,52.0,72.46376811594203
Census tract,Tract 2304,17031230400,2235,-87.72155190,41.91182020,14.77,91771.0,52.0,84.21052631578947
Census tract,Tract 2305,17031230500,3419,-87.73394340,41.91168920,15.01,35727.0,144.0,71.73438182612495
Census tract,Tract 2306,17031230600,6817,-87.73399860,41.90615500,15.44,57219.99999999999,405.0,62.731871838111296
Census tract,Tract 2307,17031230700,6218,-87.72153970,41.90632290,14.88,33994.0,202.0,76.24671916010499
Census tract,Tract 2308,17031230800,1234,-87.71495300,41.90583960,13.17,71328.0,35.0,79.95283018867924
Census tract,Tract 2309,17031230900,5044,-87.71035050,41.90669180,12.5,80756.0,155.0,82.28742189622386
Census tract,Tract 2311,17031231100,1214,-87.71506840,41.89925420,13.0,59745.0,52.0,77.33026467203682
Census tract,Tract 2312,17031231200,5983,-87.72131530,41.89906140,14.17,31628.999999999996,335.0,78.46153846153847
Census tract,Tract 2315,17031231500,5655,-87.71865250,41.89173570,14.56,31754.999999999996,475.0,73.16469617816882
Census tract,Tract 2402,17031240200,1556,-87.67018160,41.91244170,16.67,172019.0,56.0,91.89016602809708
Census tract,Tract 2403,17031240300,1362,-87.67506770,41.91236930,17.83,142292.0,49.0,98.37232960325534
Census tract,Tract 2405,17031240500,2610,-87.68362670,41.91196830,17.33,178770.0,141.0,98.27331031080412
Census tract,Tract 2406,17031240600,1489,-87.68971110,41.91213410,15.33,166536.99999999997,70.0,94.56603773584904
Census tract,Tract 2407,17031240700,1499,-87.69459860,41.91208780,13.67,96250.0,65.0,88.87973640856673
Census tract,Tract 2408,17031240800,1687,-87.69948760,41.91204830,14.92,103565.0,46.0,95.4778156996587
Census tract,Tract 2409,17031240900,1122,-87.69862330,41.90484480,15.0,98145.0,221.0,91.17647058823528
Census tract,Tract 2410,17031241000,2363,-87.69453420,41.90796860,13.83,96517.99999999999,108.0,90.7641196013289
Census tract,Tract 2411,17031241100,3574,-87.68958010,41.90664030,13.42,90822.0,149.0,94.59651617490223
Census tract,Tract 2412,17031241200,1714,-87.68468570,41.90670700,17.0,139687.99999999997,98.0,94.73684210526316
Census tract,Tract 2413,17031241300,1848,-87.68102500,41.90677160,15.83,182828.99999999997,64.0,98.40277777777776
Census tract,Tract 2414,17031241400,5273,-87.67531370,41.90603120,16.46,200428.99999999997,458.0,96.3666391412056
Census tract,Tract 2415,17031241500,2954,-87.67092980,41.90837400,16.78,178750.0,280.0,98.31435079726651
Census tract,Tract 2416,17031241600,3534,-87.66532770,41.90670970,16.25,121470.99999999999,132.0,99.36779471922648
Census tract,Tract 2420,17031242000,4692,-87.66495360,41.89973710,15.56,151723.99999999997,177.0,94.66529879456272
Census tract,Tract 2421,17031242100,3976,-87.66983750,41.89966980,16.83,205338.0,146.0,99.2662794252522
Census tract,Tract 2422,17031242200,4082,-87.67471880,41.89958930,16.25,168311.0,154.0,96.35894495412845
Census tract,Tract 2423,17031242300,3568,-87.67960030,41.89950650,13.83,106918.99999999999,102.0,94.8835433371516
Census tract,Tract 2424,17031242400,2902,-87.68449000,41.89942190,15.5,110129.0,122.0,98.39655846695346
Census tract,Tract 2425,17031242500,3426,-87.68931910,41.89944550,13.75,93278.99999999999,182.0,91.88416160171612
Census tract,Tract 2426,17031242600,5665,-87.69419700,41.90056000,13.88,85000.0,213.0,85.53567050747732
Census tract,Tract 2427,17031242700,1938,-87.69937420,41.89742540,15.83,80227.0,71.0,87.99185888738128
Census tract,Tract 2428,17031242800,1507,-87.69032370,41.89263200,16.33,165374.99999999997,92.0,90.43336058871628
Census tract,Tract 2429,17031242900,1962,-87.68428960,41.89219550,17.08,124960.0,109.0,93.46103038309114
Census tract,Tract 2430,17031243000,2234,-87.67939810,41.89227530,16.08,123749.99999999999,95.0,98.31045406546993
Census tract,Tract 2431,17031243100,2249,-87.67450680,41.89235460,17.5,107832.99999999999,118.0,93.73902867173786
